pnid,MVIT,RVIT,XRVIT,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,ZQ2_31,ZQ2_32,ZQ2_33,ZQ2_34,Q2_3a2at,Q2_3a2bt,Q2_3a2ct,Q2_3a2dt,Q2_3a2et,Q2_3a3at,Q2_3a3bt,Q2_3a3ct,Q2_3a3dt,Q2_3a3et,Q2_3b2a,Q2_3b2b,Q2_3b2c,Q2_3b2d,Q2_3b2e,Q2_3b3a,Q2_3b3b,Q2_3b3c,Q2_3b3d,Q2_3b3e,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a_dk,Q6,Q6_1,Q6_1R,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8a20,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,WQ9_5a01,WQ9_5a02,WQ9_5a03,WQ9_5a04,WQ9_5a05,WQ9_5a06,WQ9_5a07,WQ9_5a08,WQ9_5a09,WQ9_5a10,WQ9_5a11,WQ9_5a12,WQ9_5a13,WQ9_5a14,WQ9_5a15,WQ9_5a16,WQ9_5a17,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인TOT2,C총액1인TOT2,총액1인TOT_개별국제교통비제외2,C총액1인TOT_개별국제교통비제외2,MDAY전체TOT_RAW61,RDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외61,RDAY전체_개별국제교통비제외61,MDAY개별대체61,MDAY에어대체61,MDAY단체대체61,RDAY개별대체61,RDAY에어대체61,RDAY단체대체61,MDAY개별대체_개별국제교통비제외61,MDAY에어대체_개별국제교통비제외61,MDAY단체대체_개별국제교통비제외61,RDAY개별대체_개별국제교통비제외61,RDAY에어대체_개별국제교통비제외61,RDAY단체대체_개별국제교통비제외61,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,단기투어상품1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,C단기투어상품1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q12a27,Q13,Q14,D_MON,D_BUN,D_NAT,D_NAT2,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight1,weight2,weight3,weight4,weight
5491,1,1,,1,1,8,,,1,3,6,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,16,,9,,,3,,,,,,,2,,,,1,1,,,,,,,,,,,2,,,2,,,,,,6,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,,,,,,,,,,,,,,,,,3,1,2,11003,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,4,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,1377.00,2,1199.76,2,344.25,4,299.94,3,344.25,,,4,,,299.94,,,3,,,,0.00,163.60,272.67,0.00,0.00,177.24,0.00,0.00,0.00,0.00,0.00,68.17,0.00,0.00,0.00,0.00,681.68,13.63,0.00,0.00,0.00,0.00,,1,3,4,1,1,3,1,1,1,1,1,3,1,1,1,1,4,2,1,1,1,1,1,2,3,,,,,,9,,,,,40.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,5,,,5,5,5,5,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,4,2,1,,1,2,1,1,1,,1657.42,,,1657.42
5492,4,4,5,1,1,2,4,5,1,3,4,,2,6,,1,,,,,,,,,,,,,,,,,,,,,,,,9,2,,3,1,5,3,6,1,,11,10,9,4,,,,3,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,4,5,,,,,,,,13,,,,,,,,5,4,13,11002,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,4350.28,4,2900.19,3,870.06,5,580.04,5,870.06,,,5,,,580.04,,,5,,,,0.00,580.04,72.50,0.00,0.00,1450.09,0.00,0.00,0.00,36.25,36.25,0.00,0.00,0.00,0.00,0.00,2175.14,0.00,0.00,0.00,0.00,0.00,,1,5,3,1,1,5,1,1,1,3,3,1,1,1,1,1,4,1,1,1,1,1,1,,3,,,,,,,,,,,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,1,5,5,5,5,,5,5,,,,,,,,5,,,,5,5,5,5,5,5,5,5,5,5,,5,5,4,2,4,,2,3,1,4,1,,916.70,,,916.70
5493,1,1,,1,1,7,8,,11,6,,,4,6,,1,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,1,10,,1,3,,,7,1,4,8,1,,,4,1,,,4,,,,,,,,2,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,5,6,7,,,,,,,,,,,,,,6,1,3,11905,,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,,,3,1,2,7,8,8,8,4,,,,,,,,,,,,3,,,,,5,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,3,,,,,5,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,7,,,,,,,,7,,,,,,,,1737.83,2,1178.68,2,217.23,3,147.33,3,217.23,,,3,,,147.33,,,3,,,,0.00,615.06,298.21,0.00,0.00,559.15,0.00,0.00,0.00,0.00,149.11,22.37,0.00,0.00,11.18,0.00,74.55,8.20,0.00,0.00,0.00,0.00,,1,5,4,1,1,5,1,1,1,1,4,2,1,1,2,1,3,2,1,1,1,1,,2,,,,,7,,9,10,,,,0.00,20.00,0.00,0.00,0.00,0.00,40.00,0.00,30.00,10.00,0.00,0.00,0.00,3,2,4,5,5,5,5,,5,5,5,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,4,2,10,,2,2,1,1,1,,383.41,,,383.41
5494,1,1,,3,1,4,6,5,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,4,9,,,,9,,,,,,,11,4,,,,,,,,,,,,,,,2,,,,,,,7,,19,18,2,17,16,3,3,2,3,3,1,2,,,5,,,,,,,,,,,,,,,,5,2,1,11021,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1160.08,2,1160.08,2,232.02,3,232.02,3,,,232.0,,,3,,,232.02,,,3,507.53,36.25,,145.01,145.01,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.02,0.00,0.00,0.00,36.25,,4,1,,4,4,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,3,,,2,,,,,7,,,,,,,0.00,70.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,4,,,4,5,4,,,4,,,,,,,,,,,,4,4,4,5,4,5,4,4,4,4,4,4,3,4,2,7,,1,1,1,1,3,,445.48,,,445.48
5495,3,3,5,1,1,4,8,5,2,1,10,,6,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,2,14,3,1,2,7,4,1,2,,4,6,1,,,,11,2,1,,,,,,,,,,,2,,,2,,,,,,6,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,,,,,,,,,,14,,,,,,,2,3,,11012,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,4,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,3,,,,,,,1501.50,2,1010.10,2,375.38,4,252.53,3,375.38,,,4,,,252.53,,,3,,,,0.00,163.80,273.00,0.00,0.00,491.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273.00,0.00,273.00,0.00,27.30,0.00,,1,3,4,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,4,1,2,1,1,2,,4,5,,,,,,,,,50.00,10.00,0.00,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,1,5,5,4,5,5,,,,,,,,,,,5,,,4,4,4,4,4,4,4,5,5,5,,5,5,4,2,6,,2,4,1,3,1,,624.18,,,624.18
5496,1,1,,3,1,1,6,4,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,8,2,5,,,,9,,,,,,,11,4,,,,,,,,,,,,,,,2,,,,,,,7,,19,18,2,17,16,3,3,2,3,3,1,2,3,,,,,,,,,,,,,,,,,,2,1,3,11012,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1450.09,2,1450.09,2,290.02,3,290.02,3,,,290.0,,,3,,,290.02,,,3,507.53,36.25,,253.77,217.51,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362.52,0.00,0.00,0.00,72.50,,4,1,,4,4,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,3,,,2,,,,,7,,,,,,,0.00,70.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,4,3,,4,4,4,4,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,5,4,4,4,4,4,2,7,,1,1,1,1,3,,445.48,,,445.48
5497,2,2,5,1,1,7,9,8,1,10,4,,9,8,,,2,3,4,5,,,,,3,,,,,,,,,,,,,,,7,3,,6,3,,1,4,,,6,2,5,6,,,,3,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,,,3,,5,,,,,,,12,,,,,,,,,3,5,,11012,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,,,,,,,,4,,,,,1365.00,2,873.60,1,273.00,3,174.72,3,273.00,,,3,,,174.72,,,3,,,,0.00,273.00,546.00,0.00,0.00,491.40,0.00,0.00,0.00,0.00,54.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,4,4,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,5,,,5,,5,,,,,,,5,,,,,5,5,5,5,5,5,5,5,5,5,,4,4,4,2,6,,2,3,1,2,1,,675.71,,,675.71
5498,8,4,5,1,1,2,8,7,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,6,5,8,1,7,3,,1,5,7,6,3,4,,5,1,,,,5,,7,,9,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,,3,,,,,,9,,,,,,,,,,,,1,9,3,50500,,,,,1,,,,,,,,,,,,,,,,17,1,,,,,,,8,,,3,1,2,8,9,9,9,5,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,8,,,,,,,,8,,,,,,,,1324.32,2,968.32,1,147.15,3,107.59,3,147.15,,,3,,,107.59,,,3,,,,0.00,267.00,142.40,0.00,356.00,0.00,0.00,89.00,0.00,0.00,0.00,71.20,0.00,0.00,0.00,0.00,320.40,24.92,0.00,0.00,0.00,53.40,,1,4,4,1,4,1,1,2,1,1,1,3,1,1,1,1,4,2,1,1,1,1,,2,3,,,,,,,10,11,,,0.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,4,5,1,5,5,,5,,,,,,5,,,,,,,,5,4,5,4,4,4,4,5,5,4,,5,5,4,2,9,,2,4,1,4,1,,476.50,,,476.50
5499,3,3,5,1,1,5,2,3,12,5,4,,10,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,3,13,1,8,11,7,1,4,,,5,1,4,,,,11,4,1,,,,,,,,,,,2,,,2,,,,,,6,,,4,3,0,4,3,3,3,0,3,3,1,2,3,,5,,,,,10,,,13,,,,,,,,1,5,13,11005,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,6,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,3003.00,4,2429.70,3,500.50,5,404.95,4,500.50,,,5,,,404.95,,,4,,,,0.00,327.60,546.00,0.00,0.00,573.30,0.00,0.00,0.00,0.00,54.60,0.00,0.00,0.00,0.00,0.00,546.00,0.00,819.00,0.00,136.50,0.00,,1,4,4,1,1,5,1,1,1,1,3,1,1,1,1,1,4,1,4,1,4,1,1,,3,4,,,,,,,,,,50.00,0.00,30.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,4,7,5,5,5,5,,5,,,,,5,,,5,,,,5,5,5,5,5,5,5,5,5,5,,4,4,4,2,6,,2,5,1,3,1,,740.98,,,740.98
5500,1,1,,3,1,8,7,1,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,1,9,3,1,2,,,8,5,4,,,,11,6,,,,,,,,,,,,,,,2,,2,,4,,,,,4,3,0,4,3,3,3,0,3,3,1,2,3,,5,6,7,,,,,,,,,,,,,,3,5,6,42001,,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,,,3,1,2,4,5,5,5,4,,,0,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,4,,,0,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1430.10,2,1430.10,2,286.02,3,286.02,3,,,286.0,,,3,,,286.02,,,3,1241.10,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,0.00,0.00,0.00,0.00,,5,1,,1,1,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,1,,,,,,7,,,,11,,,40.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,20.00,0.00,0.00,4,3,2,5,5,5,5,,5,5,5,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,13,,2,4,1,1,3,,501.21,,,501.21
5501,1,1,,3,1,1,6,5,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,5,3,8,,,,9,,,,,,,11,4,,,,,,,,,,,,,,,2,,,,,,,7,,23,22,1,22,21,3,3,1,3,3,1,2,3,,,,,,,,,,,,,,,,,,2,3,1,11004,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1450.09,2,1450.09,2,290.02,3,290.02,3,,,290.0,,,3,,,290.02,,,3,471.28,36.25,,145.01,145.01,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,580.04,0.00,0.00,0.00,72.50,,3,1,,4,4,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,3,,1,2,3,,5,,,,,,,,,10.00,10.00,60.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,4,,4,4,4,4,,,,,,,,,,,,,,5,3,4,4,4,4,4,3,4,4,3,5,5,4,2,7,,2,4,1,1,3,,1361.99,,,1361.99
5502,1,1,,3,1,1,3,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,6,,2,,,,,,,,,,11,6,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,3,4,1,42002,,,,,1,,,4,,,,,,,,,,,,,17,1,,,4,,,,8,,,3,1,2,6,7,7,7,2,,,2,,,,,,,,,,,,,2,3,,,3,,,,,,,,,,,,,3,2,,,2,,,,,,,,,,,,,2,3,,,3,,,,,,,,,,,,,3,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,6,,,,,,,,6,,,,,,,,2736.15,3,2736.15,3,390.88,4,390.88,4,,,390.9,,,4,,,390.88,,,4,1626.90,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1109.25,0.00,0.00,0.00,0.00,,5,1,,1,1,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,,2,,,,,,,,,,,,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,,,5,5,5,5,5,5,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,10,,2,6,1,1,3,,536.01,,,536.01
5503,1,1,,3,1,1,6,4,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,8,3,2,,,,9,,,,,,,11,4,,,,,,,,,,,,,,,2,,,,,,,7,,14,13,0,14,13,3,3,0,3,3,1,2,,,5,,,,,,,,,,,,,,,,2,5,1,26006,,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,,,3,1,2,5,6,6,6,3,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,1667.61,2,1667.61,2,277.93,3,277.93,3,,,277.9,,,3,,,277.93,,,3,580.04,36.25,,217.51,290.02,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,507.53,0.00,0.00,0.00,36.25,,4,1,,4,4,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,3,,,2,,,,,7,,,,,,,0.00,30.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,4,3,,4,5,4,,,4,,,,,,,,,,,,5,5,4,4,4,5,4,4,4,5,5,4,5,4,2,7,,2,4,1,1,3,,1361.99,,,1361.99
5504,1,1,,1,1,7,8,1,1,7,12,,7,8,4,,2,,4,,32,63,232,51,,,,,,,,,,,,,,,,5,12,3,8,6,3,1,4,3,,5,4,2,2,9,5,,3,,2,,,,6,,8,,,,2,,,2,,,3,,,,,,2,1,1,1,0,2,1,1,1,0,,,3,,,6,7,,,,,,,,,,,,,,6,3,7,11905,,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,,,3,1,2,8,9,9,9,6,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,8,,,,,,,,8,,,,,,,,2024.87,3,1111.80,2,224.99,3,123.53,3,224.99,,,3,,,123.53,,,3,,,,0.00,408.20,268.55,0.00,0.00,913.07,0.00,0.00,0.00,0.00,107.42,107.42,0.00,0.00,96.68,0.00,107.42,16.11,0.00,0.00,0.00,0.00,,1,4,4,1,1,5,1,1,1,1,4,4,1,1,3,1,4,2,1,1,1,1,1,2,,,5,6,,,,,,,,50.00,35.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,5,1,4,,,4,,,5,5,,,,,,,,,,3,3,5,4,4,4,4,4,4,3,,4,4,4,2,12,12.3,2,2,1,1,1,,283.25,,,283.25
5505,3,3,5,1,1,8,4,2,1,4,6,,8,2,,1,,,,,,,,,,,,,,,,,,,,,,,,6,5,8,3,6,5,1,,,,6,5,1,3,,,,6,1,,,,5,6,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,,5,,,,,,,,,,,,,,,,5,1,2,26006,26001,,,,1,,,,,,,,,,,,13,,,,17,1,,,,,6,,8,,,3,1,2,21,22,22,11,13,,,,,,,,,,,,4,,,,4,14,,,,,,,,,,,,5,,,,5,13,,,,,,,,,,,,4,,,,4,14,,,,,,,,,,,,5,,,,5,5,,,,,,,,,,,,1,,,,1,1,,,,5,,,,,8,,,,13,,,,8,,,,13,,,,2685.50,3,2056.09,3,122.07,3,93.46,2,122.07,,,3,,,93.46,,,2,,,,0.00,839.22,472.06,0.00,0.00,629.41,0.00,94.41,0.00,0.00,41.96,104.90,0.00,0.00,52.45,0.00,419.61,31.47,0.00,0.00,0.00,0.00,,1,5,4,1,1,5,1,2,1,1,3,4,1,1,3,1,4,3,1,1,1,1,1,,3,,,,,,,,,,,40.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,3,,5,5,4,,,5,,,,,,,,,,,,3,3,4,4,4,4,4,4,4,4,,4,5,4,2,97,,2,2,1,3,1,,754.21,,,754.21
5506,1,1,,1,1,1,9,8,1,5,10,,9,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,7,5,2,3,4,8,1,7,4,,6,11,1,2,9,8,,6,1,,,,,,,,,,,2,,,2,,2,,,,6,,,4,3,0,4,3,3,3,0,3,3,,2,,,5,6,7,,,,,,,,,,,,,,2,6,5,11003,,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,,,3,1,2,11,12,12,11,10,,,,,,,,,,,,1,,,,,11,,,,,,,,,,,,2,,,,,10,,,,,,,,,,,,1,,,,,11,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,11,,,,,,,,11,,,,,,,,4200.00,4,3041.38,4,350.00,4,253.45,3,350.00,,,4,,,253.45,,,3,,,,0.00,386.21,386.21,96.55,0.00,1158.62,0.00,0.00,0.00,0.00,96.55,96.55,0.00,0.00,48.28,0.00,1931.03,0.00,0.00,0.00,0.00,0.00,,1,4,4,3,1,5,1,1,1,1,3,3,1,1,3,1,4,1,1,1,1,1,1,,3,4,,,,,,,,,,30.00,0.00,50.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,6,4,5,,5,,,5,5,5,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,4,2,11,,2,2,1,1,1,,242.92,,,242.92
